Stall_Holder_Id,Stall_holder_name,Stall_holder_fullName,Accounting,Aerospace Engineering,Agriculture & Veterinary,Animal Science,Biological Studies,Business Studies,Chemistry,Cinematic & Photography,Civil Engineering,Communication Technology,Computer Science,Dentistry,Design Studies,Drama/Dance,Economics,Education Studies,Electronic & Engineering,Fashion Technology,Finance,Fine Art,Food & Beverages Studies,Hospitality & Catering,Human Resource Management,Language,Law,Logistic Engineering,Management Studies,Manufacturing,Marketing,Mathematics & Statistics,Media Studies,Medicine,Music,Naval Engineering,Nursing and Healthcare,Other,Pharmacy,Photography,Politics,Teacher Training,Tourism
416,Tech.One,,,,,,,,,,"Certificate,",,,,,,,"Certificate,Diploma,Foundation Degree,",,,,,,,,,,,,,,,,,,,,,,,,,
469,Thames College,,,,,,,,,,,,,,,,,,,,,,,"Diploma,null,null,",,,,,,,,,,,,,,,,,,,"Diploma,null,null,"
42,AAT,Association of Accounting Technicians of Sri Lanka,"Diploma,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,CA Sri Lanka,Institute of Chartered Accountants of Sri Lanka,"Degree,",,,,,"Masters,",,,,,,,,,,,,,"Degree,",,,,,,,,"Masters,",,,,,,,,,,,,,,
512,IHSMLH,The International Hotel School of Mount Lavinia Hotel,,,,,,,,,,,,,,,,,,,,,"Certificate,Diploma,Foundation,","Certificate,Diploma,Foundation,",,,,,,,,,,,,,,,,,,,"Certificate,Diploma,Foundation,"
552,PRISL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Certificate,Diploma,Degree,",,,,,
573,TTIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520,Unilink Education,,"Degree,Masters,","Degree,Masters,","Degree,Masters,",,,"Degree,Masters,Phd,",,"Degree,Masters,",,,"Degree,Masters,",,"Degree,Masters,",,"Degree,Masters,","Degree,Masters,","Degree,Masters,",,"Degree,Masters,",,,"Degree,Masters,","Degree,Masters,","Degree,Masters,","Degree,Masters,",,"Degree,Masters,Phd,",,"Degree,Masters,",,"Degree,Masters,",,,,"Degree,Masters,",,,,,,"Degree,Masters,"
426,UAS,Universal Academic Services,"Foundation Degree,Degree,Masters,","Foundation Degree,Degree,Masters,",,,"Foundation Degree,Degree,Masters,","Foundation Degree,Degree,Masters,","Foundation Degree,Degree,Masters,","Foundation Degree,Degree,Masters,","Foundation Degree,Degree,Masters,","Foundation Degree,Degree,Masters,","Foundation Degree,Degree,Masters,",,"Foundation Degree,Degree,Masters,",,"Foundation Degree,Degree,Masters,","Foundation Degree,Degree,Masters,","Foundation Degree,Degree,Masters,","Foundation Degree,Degree,Masters,","Foundation Degree,Degree,Masters,","Foundation Degree,Degree,Masters,",,,"Foundation Degree,Degree,Masters,","Foundation Degree,Degree,Masters,","Foundation Degree,Degree,Masters,",,"Foundation Degree,Degree,Masters,","Foundation Degree,Degree,Masters,","Foundation Degree,Degree,Masters,","Foundation Degree,Degree,Masters,","Foundation Degree,Degree,Masters,","Foundation Degree,Degree,Masters,","Foundation Degree,Degree,Masters,",,,,"Foundation Degree,Degree,Masters,","Foundation Degree,Degree,Masters,",,"Foundation Degree,Degree,Masters,","Foundation Degree,Degree,Masters,"
151,University of Moratuwa,,,,,,,,,,,"Diploma,Foundation Degree,Degree,Masters,","Diploma,Foundation Degree,Degree,Masters,",,,,,,"Diploma,Foundation Degree,Degree,Masters,",,,,,,,,,,,,,,,,,,,,,,,,
514,VASS CONSULTATIONS  (Pvt ) Ltd,,"Diploma,Degree,",,,,,"Diploma,Degree,Masters,",,,,,,"Certificate,Diploma,Degree,",,,,,"Degree,",,,,,,,,,,,,,,,"Diploma,Degree,Masters,",,,"Diploma,Degree,Masters,Phd,",,"Diploma,Degree,Masters,Phd,",,,,
479,Villa College - Colombo,,"Certificate,Foundation Degree,Degree,",,,,,"Certificate,Foundation Degree,Degree,",,,,,,,,,"Certificate,Foundation Degree,Degree,",,,,"Certificate,Foundation Degree,Degree,",,,,"Certificate,Foundation Degree,Degree,","Certificate,Foundation Degree,Degree,",,,"Certificate,Foundation Degree,Degree,",,"Certificate,Foundation Degree,Degree,",,,,,,,,,,,,"Certificate,Foundation Degree,Degree,"
163,VTL Management services,,"Certificate,Diploma,Foundation Degree,Degree,Masters,",,,,,"Certificate,Diploma,Foundation Degree,Degree,Masters,",,,,,,,,,"Certificate,Diploma,Foundation Degree,Degree,Masters,",,,,,,,"Certificate,Diploma,Foundation Degree,",,,,,"Certificate,Diploma,Foundation Degree,Degree,Masters,",,,,,,,,,,,,,,"Certificate,Diploma,Foundation Degree,Degree,"
481,WEST1,WEST 1 INTERNATIONAL PVT LTD,"Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,",,"Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,"
149,WCMT Campus,,,,,,,,,,"Diploma,Foundation Degree,Degree,",,"Diploma,Foundation Degree,Degree,",,,,,,"Diploma,Foundation Degree,Degree,",,,,,,,,,,,,,,,,,,,,,,,,
